scenario,run,phase,requests_total,success,failed,success_rate,error_rate,avg_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,timeouts,recovery_latency_s
packet-loss-1pct-async-limited,run-04-router,baseline,179,179,0,100.00%,0.00%,3.07,2.89,5.07,5.62,0.99,7.64,0,0.575958
packet-loss-1pct-async-limited,run-04-router,fault,600,600,0,100.00%,0.00%,6.45,2.84,5.03,209.69,0.76,219.34,0,0.575958
packet-loss-1pct-async-limited,run-04-router,after,180,180,0,100.00%,0.00%,3.14,3.12,5.22,7.74,1.14,8.09,0,0.575958
packet-loss-1pct-async-limited,run-05-router,overall,959,959,0,100.00%,0.00%,4.68,3.25,5.10,7.30,0.94,215.29,0,0.341633
packet-loss-1pct-async-limited,run-05-router,baseline,179,179,0,100.00%,0.00%,3.07,3.13,4.58,5.51,0.97,5.55,0,0.341633
packet-loss-1pct-async-limited,run-05-router,fault,600,600,0,100.00%,0.00%,5.58,3.19,5.32,209.99,0.94,215.29,0,0.341633
packet-loss-1pct-async-limited,run-05-router,after,180,180,0,100.00%,0.00%,3.29,3.55,4.67,5.49,0.96,5.85,0,0.341633
packet-loss-1pct-async-limited,run-06-router,overall,959,959,0,100.00%,0.00%,5.25,3.49,5.17,12.40,0.78,215.98,0,0.209747
packet-loss-1pct-async-limited,run-06-router,baseline,179,179,0,100.00%,0.00%,3.54,3.79,5.09,8.41,1.22,9.72,0,0.209747
packet-loss-1pct-async-limited,run-06-router,fault,600,600,0,100.00%,0.00%,6.42,3.48,5.42,211.04,0.78,215.98,0,0.209747
packet-loss-1pct-async-limited,run-06-router,after,180,180,0,100.00%,0.00%,3.04,3.29,4.83,5.71,0.88,6.06,0,0.209747
packet-loss-1pct-async-limited,run-07-router,overall,959,959,0,100.00%,0.00%,4.80,3.29,4.86,8.07,0.86,418.53,0,0.123556
packet-loss-1pct-async-limited,run-07-router,baseline,180,180,0,100.00%,0.00%,3.32,3.49,5.07,6.26,0.86,8.07,0,0.123556
packet-loss-1pct-async-limited,run-07-router,fault,599,599,0,100.00%,0.00%,5.77,3.18,4.93,207.96,0.92,418.53,0,0.123556
packet-loss-1pct-async-limited,run-07-router,after,180,180,0,100.00%,0.00%,3.04,3.27,4.63,5.91,0.95,7.04,0,0.123556
packet-loss-1pct-async-limited,run-08-router,overall,155,155,0,100.00%,0.00%,2.96,2.99,4.54,5.75,0.82,6.19,0,NA
packet-loss-1pct-async-limited,run-08-router,baseline,155,155,0,100.00%,0.00%,2.96,2.99,4.54,5.75,0.82,6.19,0,NA
packet-loss-1pct-async-limited,run-08-router,fault,0,0,0,NA,NA,,,,,,,,NA
packet-loss-1pct-async-limited,run-08-router,after,0,0,0,NA,NA,,,,,,,,NA
packet-loss-1pct-async-limited,run-09-router,overall,561,561,0,100.00%,0.00%,3.80,3.02,4.97,6.73,0.84,211.35,0,NA
packet-loss-1pct-async-limited,run-09-router,baseline,180,180,0,100.00%,0.00%,3.10,3.20,4.91,5.70,1.27,7.09,0,NA
packet-loss-1pct-async-limited,run-09-router,fault,381,381,0,100.00%,0.00%,4.13,2.92,5.01,7.43,0.84,211.35,0,NA
packet-loss-1pct-async-limited,run-09-router,after,0,0,0,NA,NA,,,,,,,,NA
packet-loss-1pct-async-limited,run-10-router,overall,89,89,0,100.00%,0.00%,3.17,3.32,5.25,7.93,1.27,7.93,0,NA
packet-loss-1pct-async-limited,run-10-router,baseline,89,89,0,100.00%,0.00%,3.17,3.32,5.25,7.93,1.27,7.93,0,NA
packet-loss-1pct-async-limited,run-10-router,fault,0,0,0,NA,NA,,,,,,,,NA
packet-loss-1pct-async-limited,run-10-router,after,0,0,0,NA,NA,,,,,,,,NA
packet-loss-10pct-async-limited,run-01-router,overall,682,682,0,100.00%,0.00%,18.46,3.50,209.98,217.14,0.90,422.67,0,NA
packet-loss-10pct-async-limited,run-01-router,baseline,180,180,0,100.00%,0.00%,2.85,2.40,4.91,6.09,1.04,6.16,0,NA
packet-loss-10pct-async-limited,run-01-router,fault,502,502,0,100.00%,0.00%,24.05,3.74,211.91,217.43,0.90,422.67,0,NA
packet-loss-10pct-async-limited,run-01-router,after,0,0,0,NA,NA,,,,,,,,NA
packet-loss-10pct-async-limited,run-02-router,overall,959,959,0,100.00%,0.00%,21.72,3.67,210.96,217.89,0.98,830.05,0,0.894684
packet-loss-10pct-async-limited,run-02-router,baseline,180,180,0,100.00%,0.00%,3.12,3.29,4.80,5.35,1.27,5.50,0,0.894684
